v1	V(vbb)	V(vcc)	I(V1)	I(V2)	Ib(Q1)	Ic(Q1)	Ie(Q1)
-7.180000000000000e-01	-7.180000e-01	-3.000000e+00	1.328049e-04	2.495747e-02	-1.328049e-04	-2.495747e-02	2.509027e-02
-7.170000000000000e-01	-7.170000e-01	-3.000000e+00	1.286589e-04	2.428101e-02	-1.286589e-04	-2.428101e-02	2.440966e-02
-7.160000000000000e-01	-7.160000e-01	-3.000000e+00	1.246243e-04	2.361722e-02	-1.246243e-04	-2.361722e-02	2.374185e-02
-7.150000000000000e-01	-7.150000e-01	-3.000000e+00	1.206990e-04	2.296613e-02	-1.206990e-04	-2.296613e-02	2.308683e-02
-7.140000000000000e-01	-7.140000e-01	-3.000000e+00	1.168807e-04	2.232773e-02	-1.168807e-04	-2.232773e-02	2.244461e-02
-7.130000000000000e-01	-7.130000e-01	-3.000000e+00	1.131672e-04	2.170201e-02	-1.131672e-04	-2.170201e-02	2.181518e-02
-7.120000000000000e-01	-7.120000e-01	-3.000000e+00	1.095563e-04	2.108894e-02	-1.095563e-04	-2.108894e-02	2.119850e-02
-7.110000000000000e-01	-7.110000e-01	-3.000000e+00	1.060460e-04	2.048851e-02	-1.060460e-04	-2.048851e-02	2.059455e-02
-7.100000000000000e-01	-7.100000e-01	-3.000000e+00	1.026339e-04	1.990066e-02	-1.026339e-04	-1.990066e-02	2.000329e-02
-7.090000000000000e-01	-7.090000e-01	-3.000000e+00	9.931807e-05	1.932534e-02	-9.931807e-05	-1.932534e-02	1.942466e-02
-7.080000000000000e-01	-7.080000e-01	-3.000000e+00	9.609636e-05	1.876250e-02	-9.609636e-05	-1.876250e-02	1.885860e-02
-7.070000000000000e-01	-7.070000e-01	-3.000000e+00	9.296671e-05	1.821207e-02	-9.296671e-05	-1.821207e-02	1.830503e-02
-7.060000000000000e-01	-7.060000e-01	-3.000000e+00	8.992710e-05	1.767396e-02	-8.992710e-05	-1.767396e-02	1.776389e-02
-7.050000000000000e-01	-7.050000e-01	-3.000000e+00	8.697547e-05	1.714810e-02	-8.697547e-05	-1.714810e-02	1.723507e-02
-7.040000000000000e-01	-7.040000e-01	-3.000000e+00	8.410985e-05	1.663438e-02	-8.410985e-05	-1.663438e-02	1.671849e-02
-7.030000000000000e-01	-7.030000e-01	-3.000000e+00	8.132826e-05	1.613270e-02	-8.132826e-05	-1.613270e-02	1.621403e-02
-7.020000000000000e-01	-7.020000e-01	-3.000000e+00	7.862875e-05	1.564295e-02	-7.862875e-05	-1.564295e-02	1.572158e-02
-7.010000000000000e-01	-7.010000e-01	-3.000000e+00	7.600939e-05	1.516502e-02	-7.600939e-05	-1.516502e-02	1.524103e-02
-7.000000000000000e-01	-7.000000e-01	-3.000000e+00	7.346829e-05	1.469877e-02	-7.346829e-05	-1.469877e-02	1.477224e-02
-6.990000000000000e-01	-6.990000e-01	-3.000000e+00	7.100357e-05	1.424408e-02	-7.100357e-05	-1.424408e-02	1.431508e-02
-6.980000000000000e-01	-6.980000e-01	-3.000000e+00	6.861336e-05	1.380081e-02	-6.861336e-05	-1.380081e-02	1.386942e-02
-6.970000000000000e-01	-6.970000e-01	-3.000000e+00	6.629587e-05	1.336880e-02	-6.629587e-05	-1.336880e-02	1.343510e-02
-6.960000000000000e-01	-6.960000e-01	-3.000000e+00	6.404927e-05	1.294792e-02	-6.404927e-05	-1.294792e-02	1.301197e-02
-6.950000000000000e-01	-6.950000e-01	-3.000000e+00	6.187180e-05	1.253801e-02	-6.187180e-05	-1.253801e-02	1.259988e-02
-6.940000000000000e-01	-6.940000e-01	-3.000000e+00	5.976170e-05	1.213891e-02	-5.976170e-05	-1.213891e-02	1.219867e-02
-6.929999999999999e-01	-6.930000e-01	-3.000000e+00	5.771727e-05	1.175045e-02	-5.771727e-05	-1.175045e-02	1.180816e-02
-6.919999999999999e-01	-6.920000e-01	-3.000000e+00	5.573679e-05	1.137246e-02	-5.573679e-05	-1.137246e-02	1.142820e-02
-6.909999999999999e-01	-6.910000e-01	-3.000000e+00	5.381860e-05	1.100478e-02	-5.381860e-05	-1.100478e-02	1.105860e-02
-6.899999999999999e-01	-6.900000e-01	-3.000000e+00	5.196107e-05	1.064723e-02	-5.196107e-05	-1.064723e-02	1.069919e-02
-6.889999999999999e-01	-6.890000e-01	-3.000000e+00	5.016257e-05	1.029963e-02	-5.016257e-05	-1.029963e-02	1.034980e-02
-6.879999999999999e-01	-6.880000e-01	-3.000000e+00	4.842152e-05	9.961807e-03	-4.842152e-05	-9.961807e-03	1.001023e-02
-6.869999999999999e-01	-6.870000e-01	-3.000000e+00	4.673636e-05	9.633569e-03	-4.673636e-05	-9.633569e-03	9.680306e-03
-6.859999999999999e-01	-6.860000e-01	-3.000000e+00	4.510556e-05	9.314735e-03	-4.510556e-05	-9.314735e-03	9.359841e-03
-6.849999999999999e-01	-6.850000e-01	-3.000000e+00	4.352763e-05	9.005122e-03	-4.352763e-05	-9.005122e-03	9.048650e-03
-6.839999999999999e-01	-6.840000e-01	-3.000000e+00	4.200107e-05	8.704540e-03	-4.200107e-05	-8.704540e-03	8.746542e-03
-6.829999999999999e-01	-6.830000e-01	-3.000000e+00	4.052445e-05	8.412804e-03	-4.052445e-05	-8.412804e-03	8.453328e-03
-6.819999999999999e-01	-6.820000e-01	-3.000000e+00	3.909635e-05	8.129723e-03	-3.909635e-05	-8.129723e-03	8.168820e-03
-6.809999999999999e-01	-6.810000e-01	-3.000000e+00	3.771538e-05	7.855112e-03	-3.771538e-05	-7.855112e-03	7.892828e-03
-6.799999999999999e-01	-6.800000e-01	-3.000000e+00	3.638018e-05	7.588780e-03	-3.638018e-05	-7.588780e-03	7.625160e-03
-6.789999999999999e-01	-6.790000e-01	-3.000000e+00	3.508941e-05	7.330539e-03	-3.508941e-05	-7.330539e-03	7.365629e-03
-6.779999999999999e-01	-6.780000e-01	-3.000000e+00	3.384178e-05	7.080203e-03	-3.384178e-05	-7.080203e-03	7.114045e-03
-6.769999999999999e-01	-6.770000e-01	-3.000000e+00	3.263600e-05	6.837585e-03	-3.263600e-05	-6.837585e-03	6.870220e-03
-6.759999999999999e-01	-6.760000e-01	-3.000000e+00	3.147082e-05	6.602498e-03	-3.147082e-05	-6.602498e-03	6.633969e-03
-6.749999999999999e-01	-6.750000e-01	-3.000000e+00	3.034504e-05	6.374759e-03	-3.034504e-05	-6.374759e-03	6.405104e-03
-6.739999999999999e-01	-6.740000e-01	-3.000000e+00	2.925744e-05	6.154184e-03	-2.925744e-05	-6.154184e-03	6.183442e-03
-6.729999999999999e-01	-6.730000e-01	-3.000000e+00	2.820688e-05	5.940594e-03	-2.820688e-05	-5.940594e-03	5.968800e-03
-6.719999999999999e-01	-6.720000e-01	-3.000000e+00	2.719222e-05	5.733807e-03	-2.719222e-05	-5.733807e-03	5.760999e-03
-6.709999999999999e-01	-6.710000e-01	-3.000000e+00	2.621234e-05	5.533647e-03	-2.621234e-05	-5.533647e-03	5.559859e-03
-6.699999999999999e-01	-6.700000e-01	-3.000000e+00	2.526616e-05	5.339938e-03	-2.526616e-05	-5.339938e-03	5.365204e-03
-6.689999999999999e-01	-6.690000e-01	-3.000000e+00	2.435263e-05	5.152507e-03	-2.435263e-05	-5.152507e-03	5.176860e-03
-6.679999999999999e-01	-6.680000e-01	-3.000000e+00	2.347072e-05	4.971185e-03	-2.347072e-05	-4.971185e-03	4.994655e-03
-6.669999999999999e-01	-6.670000e-01	-3.000000e+00	2.261943e-05	4.795802e-03	-2.261943e-05	-4.795802e-03	4.818421e-03
-6.659999999999999e-01	-6.660000e-01	-3.000000e+00	2.179778e-05	4.626193e-03	-2.179778e-05	-4.626193e-03	4.647991e-03
-6.649999999999999e-01	-6.650000e-01	-3.000000e+00	2.100482e-05	4.462196e-03	-2.100482e-05	-4.462196e-03	4.483201e-03
-6.639999999999999e-01	-6.640000e-01	-3.000000e+00	2.023962e-05	4.303650e-03	-2.023962e-05	-4.303650e-03	4.323890e-03
-6.629999999999999e-01	-6.630000e-01	-3.000000e+00	1.950129e-05	4.150399e-03	-1.950129e-05	-4.150399e-03	4.169901e-03
-6.619999999999999e-01	-6.620000e-01	-3.000000e+00	1.878895e-05	4.002289e-03	-1.878895e-05	-4.002289e-03	4.021078e-03
-6.609999999999999e-01	-6.610000e-01	-3.000000e+00	1.810175e-05	3.859168e-03	-1.810175e-05	-3.859168e-03	3.877270e-03
-6.599999999999999e-01	-6.600000e-01	-3.000000e+00	1.743886e-05	3.720888e-03	-1.743886e-05	-3.720888e-03	3.738327e-03
-6.589999999999999e-01	-6.590000e-01	-3.000000e+00	1.679948e-05	3.587305e-03	-1.679948e-05	-3.587305e-03	3.604105e-03
-6.579999999999999e-01	-6.580000e-01	-3.000000e+00	1.618282e-05	3.458276e-03	-1.618282e-05	-3.458276e-03	3.474459e-03
-6.569999999999999e-01	-6.570000e-01	-3.000000e+00	1.558812e-05	3.333663e-03	-1.558812e-05	-3.333663e-03	3.349251e-03
-6.559999999999999e-01	-6.560000e-01	-3.000000e+00	1.501466e-05	3.213329e-03	-1.501466e-05	-3.213329e-03	3.228344e-03
-6.549999999999999e-01	-6.550000e-01	-3.000000e+00	1.446171e-05	3.097143e-03	-1.446171e-05	-3.097143e-03	3.111605e-03
-6.539999999999999e-01	-6.540000e-01	-3.000000e+00	1.392858e-05	2.984975e-03	-1.392858e-05	-2.984975e-03	2.998903e-03
-6.529999999999999e-01	-6.530000e-01	-3.000000e+00	1.341460e-05	2.876698e-03	-1.341460e-05	-2.876698e-03	2.890112e-03
-6.519999999999999e-01	-6.520000e-01	-3.000000e+00	1.291911e-05	2.772189e-03	-1.291911e-05	-2.772189e-03	2.785109e-03
-6.509999999999999e-01	-6.510000e-01	-3.000000e+00	1.244149e-05	2.671329e-03	-1.244149e-05	-2.671329e-03	2.683771e-03
-6.499999999999999e-01	-6.500000e-01	-3.000000e+00	1.198111e-05	2.574000e-03	-1.198111e-05	-2.574000e-03	2.585981e-03
-6.489999999999999e-01	-6.490000e-01	-3.000000e+00	1.153739e-05	2.480089e-03	-1.153739e-05	-2.480089e-03	2.491626e-03
-6.479999999999999e-01	-6.480000e-01	-3.000000e+00	1.110975e-05	2.389483e-03	-1.110975e-05	-2.389483e-03	2.400593e-03
-6.469999999999999e-01	-6.470000e-01	-3.000000e+00	1.069763e-05	2.302076e-03	-1.069763e-05	-2.302076e-03	2.312774e-03
-6.459999999999999e-01	-6.460000e-01	-3.000000e+00	1.030048e-05	2.217762e-03	-1.030048e-05	-2.217762e-03	2.228063e-03
-6.449999999999999e-01	-6.450000e-01	-3.000000e+00	9.917803e-06	2.136439e-03	-9.917803e-06	-2.136439e-03	2.146357e-03
-6.439999999999999e-01	-6.440000e-01	-3.000000e+00	9.549072e-06	2.058008e-03	-9.549072e-06	-2.058008e-03	2.067557e-03
-6.429999999999999e-01	-6.430000e-01	-3.000000e+00	9.193804e-06	1.982372e-03	-9.193804e-06	-1.982372e-03	1.991566e-03
-6.419999999999999e-01	-6.420000e-01	-3.000000e+00	8.851523e-06	1.909438e-03	-8.851523e-06	-1.909438e-03	1.918290e-03
-6.409999999999999e-01	-6.410000e-01	-3.000000e+00	8.521773e-06	1.839115e-03	-8.521773e-06	-1.839115e-03	1.847637e-03
-6.399999999999999e-01	-6.400000e-01	-3.000000e+00	8.204108e-06	1.771314e-03	-8.204108e-06	-1.771314e-03	1.779518e-03
-6.389999999999999e-01	-6.390000e-01	-3.000000e+00	7.898101e-06	1.705950e-03	-7.898101e-06	-1.705950e-03	1.713848e-03
-6.379999999999999e-01	-6.380000e-01	-3.000000e+00	7.603337e-06	1.642939e-03	-7.603337e-06	-1.642939e-03	1.650542e-03
-6.369999999999999e-01	-6.370000e-01	-3.000000e+00	7.319414e-06	1.582201e-03	-7.319414e-06	-1.582201e-03	1.589520e-03
-6.359999999999999e-01	-6.360000e-01	-3.000000e+00	7.045947e-06	1.523658e-03	-7.045947e-06	-1.523658e-03	1.530704e-03
-6.349999999999999e-01	-6.350000e-01	-3.000000e+00	6.782560e-06	1.467235e-03	-6.782560e-06	-1.467235e-03	1.474017e-03
-6.339999999999999e-01	-6.340000e-01	-3.000000e+00	6.528892e-06	1.412857e-03	-6.528892e-06	-1.412857e-03	1.419386e-03
-6.329999999999999e-01	-6.330000e-01	-3.000000e+00	6.284593e-06	1.360454e-03	-6.284593e-06	-1.360454e-03	1.366739e-03
-6.319999999999999e-01	-6.320000e-01	-3.000000e+00	6.049326e-06	1.309957e-03	-6.049326e-06	-1.309957e-03	1.316007e-03
-6.309999999999999e-01	-6.310000e-01	-3.000000e+00	5.822765e-06	1.261300e-03	-5.822765e-06	-1.261300e-03	1.267122e-03
-6.299999999999999e-01	-6.300000e-01	-3.000000e+00	5.604595e-06	1.214417e-03	-5.604595e-06	-1.214417e-03	1.220022e-03
-6.289999999999999e-01	-6.290000e-01	-3.000000e+00	5.394512e-06	1.169247e-03	-5.394512e-06	-1.169247e-03	1.174641e-03
-6.279999999999999e-01	-6.280000e-01	-3.000000e+00	5.192224e-06	1.125729e-03	-5.192224e-06	-1.125729e-03	1.130921e-03
-6.269999999999999e-01	-6.270000e-01	-3.000000e+00	4.997446e-06	1.083804e-03	-4.997446e-06	-1.083804e-03	1.088802e-03
-6.259999999999999e-01	-6.260000e-01	-3.000000e+00	4.809905e-06	1.043417e-03	-4.809905e-06	-1.043417e-03	1.048227e-03
-6.249999999999999e-01	-6.250000e-01	-3.000000e+00	4.629338e-06	1.004513e-03	-4.629338e-06	-1.004513e-03	1.009142e-03
-6.239999999999999e-01	-6.240000e-01	-3.000000e+00	4.455490e-06	9.670379e-04	-4.455490e-06	-9.670379e-04	9.714934e-04
-6.229999999999999e-01	-6.230000e-01	-3.000000e+00	4.288116e-06	9.309419e-04	-4.288116e-06	-9.309419e-04	9.352301e-04
-6.219999999999999e-01	-6.220000e-01	-3.000000e+00	4.126978e-06	8.961753e-04	-4.126978e-06	-8.961753e-04	9.003023e-04
-6.209999999999999e-01	-6.210000e-01	-3.000000e+00	3.971847e-06	8.626906e-04	-3.971847e-06	-8.626906e-04	8.666624e-04
-6.199999999999999e-01	-6.200000e-01	-3.000000e+00	3.822505e-06	8.304415e-04	-3.822505e-06	-8.304415e-04	8.342640e-04
-6.189999999999999e-01	-6.190000e-01	-3.000000e+00	3.678737e-06	7.993836e-04	-3.678737e-06	-7.993836e-04	8.030624e-04
-6.179999999999999e-01	-6.180000e-01	-3.000000e+00	3.540339e-06	7.694741e-04	-3.540339e-06	-7.694741e-04	7.730144e-04
-6.169999999999999e-01	-6.170000e-01	-3.000000e+00	3.407113e-06	7.406713e-04	-3.407113e-06	-7.406713e-04	7.440784e-04
-6.159999999999999e-01	-6.160000e-01	-3.000000e+00	3.278868e-06	7.129352e-04	-3.278868e-06	-7.129352e-04	7.162141e-04
-6.149999999999999e-01	-6.150000e-01	-3.000000e+00	3.155421e-06	6.862272e-04	-3.155421e-06	-6.862272e-04	6.893827e-04
-6.139999999999999e-01	-6.140000e-01	-3.000000e+00	3.036594e-06	6.605100e-04	-3.036594e-06	-6.605100e-04	6.635466e-04
-6.129999999999999e-01	-6.130000e-01	-3.000000e+00	2.922217e-06	6.357474e-04	-2.922217e-06	-6.357474e-04	6.386696e-04
