v2	V(vbb)	V(vcc)	I(I1)	I(V2)	Ib(Q1)	Ic(Q1)	Ie(Q1)
-3.070000000000020e+00	-6.608495e-01	-3.070000e+00	-1.800000e-05	3.841333e-03	-1.800000e-05	-3.841333e-03	3.859333e-03
-3.060000000000020e+00	-6.608494e-01	-3.060000e+00	-1.800000e-05	3.840851e-03	-1.800000e-05	-3.840851e-03	3.858851e-03
-3.050000000000020e+00	-6.608493e-01	-3.050000e+00	-1.800000e-05	3.840368e-03	-1.800000e-05	-3.840368e-03	3.858368e-03
-3.040000000000020e+00	-6.608492e-01	-3.040000e+00	-1.800000e-05	3.839886e-03	-1.800000e-05	-3.839886e-03	3.857886e-03
-3.030000000000021e+00	-6.608491e-01	-3.030000e+00	-1.800000e-05	3.839403e-03	-1.800000e-05	-3.839403e-03	3.857404e-03
-3.020000000000021e+00	-6.608490e-01	-3.020000e+00	-1.800000e-05	3.838921e-03	-1.800000e-05	-3.838921e-03	3.856921e-03
-3.010000000000021e+00	-6.608489e-01	-3.010000e+00	-1.800000e-05	3.838439e-03	-1.800000e-05	-3.838439e-03	3.856439e-03
-3.000000000000021e+00	-6.608488e-01	-3.000000e+00	-1.800000e-05	3.837956e-03	-1.800000e-05	-3.837956e-03	3.855956e-03
-2.990000000000022e+00	-6.608487e-01	-2.990000e+00	-1.800000e-05	3.837474e-03	-1.800000e-05	-3.837474e-03	3.855474e-03
-2.980000000000022e+00	-6.608486e-01	-2.980000e+00	-1.800000e-05	3.836992e-03	-1.800000e-05	-3.836992e-03	3.854992e-03
-2.970000000000022e+00	-6.608486e-01	-2.970000e+00	-1.800000e-05	3.836509e-03	-1.800000e-05	-3.836509e-03	3.854509e-03
-2.960000000000022e+00	-6.608484e-01	-2.960000e+00	-1.800000e-05	3.836027e-03	-1.800000e-05	-3.836027e-03	3.854027e-03
-2.950000000000022e+00	-6.608483e-01	-2.950000e+00	-1.800000e-05	3.835545e-03	-1.800000e-05	-3.835545e-03	3.853545e-03
-2.940000000000023e+00	-6.608483e-01	-2.940000e+00	-1.800000e-05	3.835062e-03	-1.800000e-05	-3.835062e-03	3.853062e-03
-2.930000000000023e+00	-6.608481e-01	-2.930000e+00	-1.800000e-05	3.834580e-03	-1.800000e-05	-3.834580e-03	3.852580e-03
-2.920000000000023e+00	-6.608481e-01	-2.920000e+00	-1.800000e-05	3.834098e-03	-1.800000e-05	-3.834098e-03	3.852098e-03
-2.910000000000023e+00	-6.608480e-01	-2.910000e+00	-1.800000e-05	3.833615e-03	-1.800000e-05	-3.833615e-03	3.851615e-03
-2.900000000000023e+00	-6.608478e-01	-2.900000e+00	-1.800000e-05	3.833133e-03	-1.800000e-05	-3.833133e-03	3.851133e-03
-2.890000000000024e+00	-6.608478e-01	-2.890000e+00	-1.800000e-05	3.832651e-03	-1.800000e-05	-3.832651e-03	3.850651e-03
-2.880000000000024e+00	-6.608477e-01	-2.880000e+00	-1.800000e-05	3.832168e-03	-1.800000e-05	-3.832168e-03	3.850168e-03
-2.870000000000024e+00	-6.608475e-01	-2.870000e+00	-1.800000e-05	3.831686e-03	-1.800000e-05	-3.831686e-03	3.849686e-03
-2.860000000000024e+00	-6.608475e-01	-2.860000e+00	-1.800000e-05	3.831204e-03	-1.800000e-05	-3.831204e-03	3.849203e-03
-2.850000000000025e+00	-6.608474e-01	-2.850000e+00	-1.800000e-05	3.830721e-03	-1.800000e-05	-3.830721e-03	3.848721e-03
-2.840000000000025e+00	-6.608473e-01	-2.840000e+00	-1.800000e-05	3.830239e-03	-1.800000e-05	-3.830239e-03	3.848239e-03
-2.830000000000025e+00	-6.608472e-01	-2.830000e+00	-1.800000e-05	3.829756e-03	-1.800000e-05	-3.829756e-03	3.847756e-03
-2.820000000000025e+00	-6.608471e-01	-2.820000e+00	-1.800000e-05	3.829274e-03	-1.800000e-05	-3.829274e-03	3.847274e-03
-2.810000000000025e+00	-6.608470e-01	-2.810000e+00	-1.800000e-05	3.828792e-03	-1.800000e-05	-3.828792e-03	3.846792e-03
-2.800000000000026e+00	-6.608469e-01	-2.800000e+00	-1.800000e-05	3.828309e-03	-1.800000e-05	-3.828309e-03	3.846309e-03
-2.790000000000026e+00	-6.608468e-01	-2.790000e+00	-1.800000e-05	3.827827e-03	-1.800000e-05	-3.827827e-03	3.845827e-03
-2.780000000000026e+00	-6.608467e-01	-2.780000e+00	-1.800000e-05	3.827345e-03	-1.800000e-05	-3.827345e-03	3.845345e-03
